,researcher_id,document-count,eid,orcid,name,subject-area
0,10242585700,33,9-s2.0-10242585700,,Ruckhaus Edna,"['Computer Science (all)', 'Mathematics (all)', 'Arts and Humanities (all)']"
1,10339103300,10,9-s2.0-10339103300,,Larena Jorge Bernabéu,"['Engineering (all)', 'Materials Science (all)', 'Computer Science (all)']"
2,10642146600,2,9-s2.0-10642146600,,Querol Aragón E.,"['Environmental Science (all)', 'Chemical Engineering (all)']"
3,10738897100,8,9-s2.0-10738897100,,Morató M. C.,"['Agricultural and Biological Sciences (all)', 'Engineering (all)', 'Physics and Astronomy (all)']"
4,10739463200,2,9-s2.0-10739463200,,Aracil-Santonja Rafael,"['Engineering (all)', 'Medicine (all)', 'Biochemistry, Genetics and Molecular Biology (all)']"
5,10739877600,22,9-s2.0-10739877600,,Castellanos María Teresa,"['Agricultural and Biological Sciences (all)', 'Earth and Planetary Sciences (all)', 'Engineering (all)']"
6,11139108300,1,9-s2.0-11139108300,,Del Mar De La Fuente Garcia-Soto M.,[]
7,11141276700,7,9-s2.0-11141276700,,Pérez-del-Notario Pedro,"['Engineering (all)', 'Energy (all)', 'Chemistry (all)']"
8,11439791100,57,9-s2.0-11439791100,,Ruiz-Hervías Jesús,"['Materials Science (all)', 'Engineering (all)', 'Physics and Astronomy (all)']"
9,11739357500,1,9-s2.0-11739357500,,Narváez Alfonso,[]
10,11739407600,5,9-s2.0-11739407600,,Sánchez José Antonio,"['Computer Science (all)', 'Physics and Astronomy (all)', 'Engineering (all)']"
11,11739749900,5,9-s2.0-11739749900,,Hernández Álvaro,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']"
12,11939524500,3,9-s2.0-11939524500,,Bonilla-Simón Ma Milagros,"['Environmental Science (all)', 'Chemistry (all)']"
13,12041015900,8,9-s2.0-12041015900,,Nobre Silvana Ribeiro,"['Agricultural and Biological Sciences (all)', 'Environmental Science (all)', 'Chemical Engineering (all)']"
14,12140401600,37,9-s2.0-12140401600,,Osma-Ruíz Víctor J.,"['Computer Science (all)', 'Engineering (all)', 'Medicine (all)']"
15,12140450800,37,9-s2.0-12140450800,0000-0001-6054-4956,Sáenz-Lechón Nicolás,"['Computer Science (all)', 'Engineering (all)', 'Medicine (all)']"
16,12142334300,21,9-s2.0-12142334300,0000-0002-6820-5024,Lleo-Garcia Lourdes,"['Agricultural and Biological Sciences (all)', 'Engineering (all)', 'Biochemistry, Genetics and Molecular Biology (all)']"
17,12142916700,21,9-s2.0-12142916700,,Earle Clara Benać,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
18,12143332300,10,9-s2.0-12143332300,,Fredlund Lars Åke,"['Computer Science (all)', 'Mathematics (all)', 'Biochemistry, Genetics and Molecular Biology (all)']"
19,12243023900,2,9-s2.0-12243023900,,Tejera-Gimeno Rosario,"['Environmental Science (all)', 'Engineering (all)']"
20,12344834500,1,9-s2.0-12344834500,,De La Fuente Diego Andina,[]
21,12345084200,2,9-s2.0-12345084200,,Valero Julio,"['Computer Science (all)', 'Engineering (all)']"
22,12345143000,1,9-s2.0-12345143000,,Ramírez-Martínez Rocío P.,[]
23,12345156600,9,9-s2.0-12345156600,,Piñuela Juan A.,"['Engineering (all)', 'Computer Science (all)', 'Earth and Planetary Sciences (all)']"
24,12345172200,6,9-s2.0-12345172200,,Buendía-Buendía Fulgencio S.,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
25,12345286800,32,9-s2.0-12345286800,,Grau Juan B.,"['Engineering (all)', 'Computer Science (all)', 'Earth and Planetary Sciences (all)']"
26,12345343100,64,9-s2.0-12345343100,0000-0001-8834-3080,Ferreiros Javier,"['Computer Science (all)', 'Social Sciences (all)', 'Engineering (all)']"
27,12446116100,26,9-s2.0-12446116100,0000-0002-8904-9534,Gallego Vázquez Eutiquio,"['Engineering (all)', 'Agricultural and Biological Sciences (all)', 'Chemical Engineering (all)']"
28,12645008600,4,9-s2.0-12645008600,,Gonzalez-Gonzalez Juan Antonio,[]
29,12759025400,1,9-s2.0-12759025400,,Pumariño B.,[]
30,12762965200,2,9-s2.0-12762965200,,García Simón Antonio,[]
31,12764138400,12,9-s2.0-12764138400,,Romo José,[]
32,12766083100,2,9-s2.0-12766083100,,González María Jesús,"['Environmental Science (all)', 'Engineering (all)', 'Energy (all)']"
33,12778596600,7,9-s2.0-12778596600,,Sánchez-Couso José Ramón,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
34,12779589800,5,9-s2.0-12779589800,,Martínez Félix Pérez,[]
35,12779768500,1,9-s2.0-12779768500,,Maurolagoitia Alcira,"['Computer Science (all)', 'Engineering (all)']"
36,12780027400,8,9-s2.0-12780027400,,Oliva Ana Gómez,"['Computer Science (all)', 'Social Sciences (all)', 'Engineering (all)']"
37,12782791300,6,9-s2.0-12782791300,,Jimeno V.,"['Agricultural and Biological Sciences (all)', 'Veterinary (all)']"
38,12784747100,4,9-s2.0-12784747100,,Vicente Beatriz,"['Agricultural and Biological Sciences (all)', 'Medicine (all)', 'Veterinary (all)']"
39,12793337900,4,9-s2.0-12793337900,,Luaces Milton Martinez,"['Computer Science (all)', 'Engineering (all)', 'Neuroscience (all)']"
40,12800953300,58,9-s2.0-12800953300,,D'Haro Luis Fernando,"['Computer Science (all)', 'Social Sciences (all)', 'Engineering (all)']"
41,12806167800,2,9-s2.0-12806167800,,Rodríguez Samuel,"['Chemical Engineering (all)', 'Health Professions  (all)', 'Engineering (all)']"
42,13006365300,13,9-s2.0-13006365300,,Benac-Earle Clara,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
43,13102917900,8,9-s2.0-13102917900,,García Del Amo Alejandro J.,"['Mathematics (all)', 'Computer Science (all)', 'Physics and Astronomy (all)']"
44,13105743300,2,9-s2.0-13105743300,,Isenegger Laurent,"['Biochemistry, Genetics and Molecular Biology (all)', 'Computer Science (all)', 'Engineering (all)']"
45,13403743200,2,9-s2.0-13403743200,,Corsini Javier,"['Engineering (all)', 'Chemical Engineering (all)']"
46,13404965900,74,9-s2.0-13404965900,0000-0002-0421-452X,García-Castro Raúl,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
47,13405174800,12,9-s2.0-13405174800,0000-0002-0781-0001,Núñez Andrés,"['Biochemistry, Genetics and Molecular Biology (all)', 'Immunology and Microbiology (all)', 'Medicine (all)']"
